"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"São Paulo","Sao Paulo","-23.5504","-46.6339","Brazil","BR","BRA","São Paulo","admin","23086000","1076532519"
"Rio de Janeiro","Rio de Janeiro","-22.9111","-43.2056","Brazil","BR","BRA","Rio de Janeiro","admin","12592000","1076887657"
"Belo Horizonte","Belo Horizonte","-19.9281","-43.9419","Brazil","BR","BRA","Minas Gerais","admin","5328000","1076967355"
"Fortaleza","Fortaleza","-3.7275","-38.5275","Brazil","BR","BRA","Ceará","admin","4167996","1076567885"
"Salvador","Salvador","-12.9831","-38.4928","Brazil","BR","BRA","Bahia","admin","2417678","1076923789"
"Curitiba","Curitiba","-25.4297","-49.2719","Brazil","BR","BRA","Paraná","admin","1773718","1076701712"
"Recife","Recife","-8.0539","-34.8808","Brazil","BR","BRA","Pernambuco","admin","1488920","1076137337"
"Porto Alegre","Porto Alegre","-30.0328","-51.2300","Brazil","BR","BRA","Rio Grande do Sul","admin","1332845","1076658221"
"Guarulhos","Guarulhos","-23.4667","-46.5333","Brazil","BR","BRA","São Paulo","minor","1324781","1076730420"
"Belém","Belem","-1.4558","-48.5039","Brazil","BR","BRA","Pará","admin","1280614","1076646823"
"Campinas","Campinas","-22.9009","-47.0573","Brazil","BR","BRA","São Paulo","minor","1213792","1076145766"
"Goiânia","Goiania","-16.6806","-49.2564","Brazil","BR","BRA","Goiás","admin","1093007","1076034054"
"São Luís","Sao Luis","-2.5300","-44.3028","Brazil","BR","BRA","Maranhão","admin","1037775","1076819308"
"Maceió","Maceio","-9.6658","-35.7350","Brazil","BR","BRA","Alagoas","admin","957916","1076440479"
"São Gonçalo","Sao Goncalo","-22.8269","-43.0539","Brazil","BR","BRA","Rio de Janeiro","minor","896744","1076485783"
"Teresina","Teresina","-5.0903","-42.8167","Brazil","BR","BRA","Piauí","admin","868075","1076727667"
"João Pessoa","Joao Pessoa","-7.1200","-34.8800","Brazil","BR","BRA","Paraíba","admin","833932","1076922014"
"São Bernardo do Campo","Sao Bernardo do Campo","-23.6939","-46.5650","Brazil","BR","BRA","São Paulo","minor","810729","1076793227"
"Natal","Natal","-5.7950","-35.2089","Brazil","BR","BRA","Rio Grande do Norte","admin","751300","1076697777"
